"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","SIU Edwardsville",69.4845,165,68.5016,172,93.9383,302,92.7206,317,106.799,284,107.183,275,-14.4629,319
"2021","SMU",70.7824,100,69.0003,145,105.191,91,110.636,47,96.5739,60,96.8093,76,13.8269,57
"2021","South Alabama",67.5878,247,66.8764,257,103.816,118,103.233,154,103.863,237,108.07,291,-4.8367,216
"2021","South Carolina",75.275,9,74.8737,3,96.2642,272,103.779,139,105.072,260,98.7738,109,5.00564,121
"2021","South Carolina St.",72.4347,46,71.9362,42,84.3024,343,87.1535,351,108.205,304,112.103,338,-24.9492,353
"2021","South Dakota",70.1193,130,69.2257,135,107.865,56,106.648,100,104.812,255,107.091,274,-0.443427,175
"2021","South Dakota St.",71.8261,67,71.1564,58,111.333,21,110.584,50,103.638,231,104.968,231,5.61653,117
"2021","South Florida",67.6815,242,67.0007,250,94.5872,290,100.531,208,104.353,246,101.039,149,-0.507441,176
"2021","Southeast Missouri St.",68.8898,185,68.6871,162,97.4579,247,95.5943,285,101.353,167,105.347,242,-9.75307,268
"2021","Southeastern Louisiana",71.5795,77,68.8493,151,94.1119,299,92.6883,319,107.136,290,110.852,327,-18.1639,338
"2021","Southern",72.6303,44,70.8908,71,94.5756,291,91.259,329,94.8612,39,104.299,218,-13.0396,311
"2021","Southern Illinois",65.3514,323,66.444,276,97.0864,254,99.8914,221,103.76,235,102.783,185,-2.89121,193
"2021","Southern Miss",68.2022,212,67.7258,218,91.9041,321,92.9236,315,99.3929,120,101.154,152,-8.23015,255
"2021","Southern Utah",71.002,96,70.1649,92,111.718,19,107.979,80,102.266,199,105.927,256,2.0519,141
"2021","St. Bonaventure",65.1656,329,65.1469,319,108.487,47,111.273,39,92.6373,17,90.6101,18,20.6632,25
"2021","St. Francis NY",73.614,26,72.8248,21,104.884,97,101.098,193,107.04,288,112.987,345,-11.8882,299
"2021","St. Francis PA",69.7196,149,68.8628,150,97.536,245,94.8831,294,104.386,247,107.559,284,-12.6758,307
"2021","St. John's",74.0972,19,73.6182,10,105.307,89,111.3,38,102.22,196,98.6069,106,12.693,66
"2021","Stanford",69.7789,147,69.496,119,98.3954,227,104.225,128,98.5941,94,93.8288,45,10.3967,83
"2021","Stephen F. Austin",71.9496,60,69.8847,105,106.952,63,103.069,160,97.2718,70,102.009,173,1.05952,154
"2021","Stetson",68.0391,223,68.7155,159,102.324,152,101.111,192,106.325,281,108.368,296,-7.25673,245
"2021","Stony Brook",67.5462,252,66.7264,266,95.771,275,94.7757,296,97.6752,75,101.036,147,-6.26018,231
"2021","Syracuse",69.6241,154,69.1952,137,108.366,48,114.061,20,101.139,161,97.4795,87,16.5816,40
"2021","Tarleton St.",65.9417,313,64.6563,333,96.9311,258,96.6845,272,103.204,225,106.115,260,-9.43056,263
"2021","TCU",67.5781,248,66.9055,256,98.07,232,104.359,126,104.907,256,101.837,169,2.52198,138
